Year,USNRank,OrgRank,Ranking_Agency_USN,InstituteName,Master_col,State,PublicPrivate,OverAllScores,OverallScore,PeerAssessmentScore,GraduationRetentionRank,AverageFirstYearRetentionRate,PredictedGraduationRate,ActualGraduationRate,OverUnderperformance,PellGradrate,SocialMobilityRank,FacultyResourcesRank,PercentofClassesUnder20,PercentofClassesof50orMoreStudents,StudentFacultyRatio,Student_Faculty_Ratio,SelectivityRank,SATACT25thPercentile,SATACT75thPercentile,FirstYearStudentsTop10HSclass,AcceptanceRate,FinancialResourcesRank,AverageAlumniGivingRate
2020,166,166,USNews,Adelphi University ,Adelphi University,NY,private,41,41,2.3,154,82%,60%,70%,10,66%,90,147,45%,2%,12,12 to 1,279,1080,1270,26%,74%,164,8%
2020,77,77,USNews,American University ,American University,DC,private,56,56,3.2,82,89%,81%,80%,-1,77%,176,44,55%,1%,12,12 to 1,90,1220,1380,31%,32%,93,6%
2020,293,293-381,USNews,Andrews University ,Andrews University,MI,private,,,1.8,,84%,68%,57%,,34%,270,,69%,4%,,,,21,27,18%,66%,,3%
2020,117,117,USNews Rutgers University – New Brunswick,Arizona State University--Tempe,Arizona State University (Tempe),,public,50,50,3.4,154,87%,62%,69%,7,62%,147,194,38%,18%,20,20 to 1,134,1130,1360,33%,85%,164,10%
2020,293,293-381,USNews,Arkansas State University,Arkansas State University,,public,,,2.2,,75%,54%,47%,,36%,119,,54%,4%,,,,21,27,20%,77%,,9%
2020,104,104,USNews,Auburn University ,Auburn University,AL,public,51,51,3.3,98,91%,74%,78%,4,64%,380,182,35%,17%,19,19 to 1,90,25,30,32%,75%,140,13%
2020,293,293-381,USNews,Augusta University ,Augusta University,GA,public,,,2,,74%,64%,31%,,28%,165,,,,,,,20,26,,76%,,3%
2020,293,293-381,USNews,Aurora University ,Aurora University,IL,private,,,1.8,,71%,51%,56%,,,176,,,,,,,19,23,,87%,,
2020,228,228,USNews,Azusa Pacific University ,Azusa Pacific University,CA,private,33,33,2.1,154,85%,62%,63%,1,65%,75,295,57%,2%,11,11 to 1,288,1020,1240,,69%,219,5%
2020,254,254,USNews,Baker University ,Baker University,KS,private,30,30,1.8,230,77%,59%,59%,,60%,138,110,71%,0.40%,12,12 to 1,245,20,25,19%,88%,276,8%
2020,192,192,USNews,Ball State University ,Ball State University,IN,public,38,38,2.6,195,81%,58%,62%,4,57%,53,246,41%,6%,17,17 to 1,215,1080,1240,18%,62%,276,10%
2020,293,293-381,USNews,Barry University ,Barry University,FL,private,,,2,,63%,43%,36%,,33%,84,,69%,0%,,,,940,1100,,91%,,1%
2020,79,79,USNews,Baylor University ,Baylor University,TX,private,55,55,3.2,103,89%,76%,79%,3,69%,297,58,50%,9%,14,14 to 1,79,26,31,40%,52%,103,14%
2020,197,197,USNews,Bellarmine University ,Bellarmine University,KY,private,37,37,2.2,187,78%,66%,67%,1,63%,147,136,52%,1%,11,11 to 1,173,22,28,,86%,231,12%
2020,166,166,USNews,Belmont University ,Belmont University,TN,private,41,41,2.7,141,83%,77%,73%,-4,63%,348,85,45%,0.10%,13,13 to 1,113,24,29,30%,82%,283,8%
2020,293,293-381,USNews,Benedictine University ,Benedictine University,IL,private,,,2.1,,70%,53%,47%,,45%,66,,64%,0.40%,,,,980,1190,14%,65%,,5%
2020,197,197,USNews,Bethel University ,Bethel University,MN,private,37,37,2,117,86%,73%,75%,2,67%,224,194,55%,2%,12,12 to 1,152,22,28,25%,71%,276,9%
2020,79,79,USNews,Binghamton University--SUNY,SUNY Binghamton University,,public,55,55,3,69,92%,77%,82%,5,79%,108,64,46%,14%,19,19 to 1,62,1310,1440,54%,40%,219,6%
2020,185,185,USNews,Biola University ,Biola University,CA,private,39,39,2,127,86%,70%,73%,3,69%,34,256,54%,5%,14,14 to 1,170,1060,1260,47%,87%,219,6%
2020,293,293-381,USNews,Boise State University ,Boise State University,ID,public,,,2.6,,79%,55%,46%,,39%,285,,34%,11%,,,,1030,1220,16%,81%,,7%
2020,37,37,USNews,Boston College,Boston College,,private,69,69,3.7,23,95%,95%,92%,-3,91%,270,42,49%,6%,11,11 to 1,28,1320,1490,78%,28%,65,24%
2020,40,40,USNews,Boston University,Boston University,,private,67,67,3.7,40,93%,85%,88%,3,88%,270,30,62%,12%,10,10 to 1,40,1330,1500,65%,22%,49,10%
2020,246,246,USNews,Bowling Green State University ,Bowling Green State University,OH,public,31,31,2.6,261,77%,56%,55%,-1,43%,234,210,44%,10%,18,18 to 1,245,20,25,15%,72%,339,6%
2020,40,40,USNews,Brandeis University ,Brandeis University,MA,private,67,67,3.6,36,93%,87%,88%,1,84%,138,48,57%,11%,10,10 to 1,48,1280,1500,56%,31%,49,19%
2020,77,77,USNews,Brigham Young Univ.--Provo ,Brigham Young Univ.--Provo,UT,private,56,56,3.2,73,89%,80%,83%,3,78%,291,54,45%,12%,20,20 to 1,62,26,31,54%,64%,200,13%
2020,14,14,USNews,Brown University ,Brown University,RI,private,86,86,4.5,4,98%,96%,95%,-1,91%,224,16,70%,10%,6,6 to 1,7,1420,1550,96%,8%,26,31%
2020,12,12,USNews,California Institute of Technology,California Institute of Technology,,private,89,89,4.7,19,98%,98%,92%,-6,96%,345,9,68%,9%,3,3 to 1,18,1530,1580,96%,7%,3,27%
2020,211,211,USNews,California State University--Fresno,"California State University, Fresno",,public,35,35,2.5,230,81%,37%,54%,17,50%,27,320,19%,9%,23,23 to 1,364,910,1110,15%,58%,370,3%
2020,272,272,USNews,Campbell University ,Campbell University,NC,private,28,28,2.1,283,73%,56%,51%,-5,42%,186,120,61%,4%,16,16 to 1,265,19,25,26%,76%,211,6%
2020,293,293-381,USNews,Cardinal Stritch University ,Cardinal Stritch University,WI,private,,,1.8,,73%,45%,51%,,35%,285,,70%,1%,,,,18,22,8%,71%,,3%
2020,25,25,USNews,Carnegie Mellon University ,Carnegie Mellon University,PA,private,75,75,4.3,30,97%,94%,89%,-5,82%,303,22,66%,12%,13,13 to 1,17,1450,1550,87%,17%,38,14%
2020,293,293-381,USNews,Carson-Newman University ,Carson-Newman University,TN,private,,,2.1,,67%,60%,51%,,46%,119,,59%,1%,,,,20,26,,66%,,6%
2020,40,40,USNews,Case Western Reserve Univ. ,Case Western Reserve University,OH,private,67,67,3.7,58,93%,91%,85%,-6,82%,214,34,59%,13%,11,11 to 1,30,30,34,70%,29%,40,19%
2020,240,240,USNews,Central Michigan University,Central Michigan University,,public,32,32,2.4,226,77%,58%,62%,4,53%,176,246,32%,7%,20,20 to 1,288,1000,1200,17%,69%,322,6%
2020,125,125,USNews,Chapman University ,Chapman University,CA,private,48,48,2.6,88,90%,83%,79%,-4,80%,186,120,48%,4%,13,13 to 1,90,1190,1370,37%,54%,132,8%
2020,185,185,USNews,Chatham University ,Chatham University,PA,private,39,39,2.3,219,81%,62%,63%,1,56%,42,136,65%,2%,10,10 to 1,215,1040,1250,29%,55%,132,11%
2020,293,293-381,USNews,Clark Atlanta University,Clark Atlanta University,,private,,,2.2,,69%,39%,45%,,41%,75,,33%,7%,,,,950,1110,11%,52%,,7%
2020,91,91,USNews,Clark University ,Clark University,MA,private,53,53,2.8,92,87%,75%,77%,2,74%,125,30,59%,3%,10,10 to 1,163,1200,1390,39%,59%,140,17%
2020,218,218,USNews,Clarke University ,Clarke University,IA,private,34,34,2.1,226,73%,59%,63%,4,62%,62,120,70%,0.40%,9,9 to 1,342,19,23,17%,82%,276,15%
2020,117,117,USNews,Clarkson University ,Clarkson University,NY,private,50,50,2.7,112,89%,74%,76%,2,74%,59,110,52%,18%,13,13 to 1,113,1160,1350,35%,71%,148,17%
2020,70,70,USNews,Clemson University ,Clemson University,SC,public,58,58,3.4,64,93%,82%,83%,1,71%,348,95,55%,14%,16,16 to 1,65,27,32,56%,47%,140,23%
2020,293,293-381,USNews,Cleveland State University,Cleveland State University,,public,,,2.2,,71%,48%,45%,,38%,134,,32%,11%,,,,19,25,15%,88%,,5%
2020,254,254,USNews,College of St. Scholastica ,The College of St. Scholastica,MN,private,30,30,1.9,161,81%,63%,69%,6,59%,303,309,50%,2%,13,13 to 1,215,20,26,17%,66%,303,4%
2020,40,40,USNews,College of William & Mary ,William & Mary,VA,public,67,67,3.8,27,95%,95%,91%,-4,88%,354,54,47%,6%,12,12 to 1,33,1310,1490,77%,37%,110,30%
2020,84,84,USNews,Colorado School of Mines,Colorado School of Mines,,public,54,54,3.5,82,93%,83%,81%,-2,77%,303,256,29%,21%,15,15 to 1,48,1290,1450,59%,49%,103,10%
2020,166,166,USNews,Colorado State University,"Colorado State University, Fort Collins",,public,41,41,3.1,145,85%,67%,71%,4,65%,234,351,27%,24%,16,16 to 1,204,1070,1280,20%,84%,183,10%
2020,3,3,USNews,Columbia University ,Columbia University,NY,private,94,94,4.7,4,99%,94%,96%,2,93%,138,3,82%,9%,6,6 to 1,2,1450,1560,96%,6%,13,30%
2020,281,281,USNews,Concordia University Wisconsin,Concordia University Wisconsin,,private,27,27,2,242,77%,57%,58%,1,49%,254,194,58%,2%,12,12 to 1,259,20,26,26%,65%,350,3%
2020,17,17,USNews,Cornell University ,Cornell University,NY,private,83,83,4.6,10,97%,97%,95%,-2,92%,224,26,57%,17%,9,9 to 1,18,1390,1540,83%,11%,18,26%
2020,104,104,USNews,Creighton University ,Creighton University,NE,private,51,51,3,95,89%,78%,79%,1,70%,315,110,46%,5%,11,11 to 1,101,24,30,37%,71%,103,13%
2020,228,228,USNews,CUNY--City College,CUNY--City College,,public,33,33,2.9,283,87%,51%,43%,-8,44%,17,300,33%,3%,16,16 to 1,349,950,1190,,38%,132,12%
2020,263,263,USNews,Daemen College ,Daemen University,NY,private,29,29,1.7,261,78%,53%,57%,4,50%,56,120,64%,0.30%,11,11 to 1,245,1040,1230,21%,54%,317,3%
2020,281,281,USNews,Dallas Baptist University,Dallas Baptist University,,private,27,27,2,247,74%,61%,54%,-7,41%,303,136,68%,2%,13,13 to 1,245,20,24,18%,88%,244,1%
2020,12,12,USNews,Dartmouth College ,Dartmouth College,NH,private,89,89,4.4,8,97%,97%,95%,-2,92%,303,8,62%,7%,7,7 to 1,11,1420,1560,95%,9%,16,43%
2020,293,293-381,USNews,Delaware State University,Delaware State University,,public,,,2.3,,72%,39%,40%,,34%,96,,45%,4%,,,,840,1010,9%,49%,,10%
2020,125,125,USNews,DePaul University ,DePaul University,IL,private,48,48,3,127,85%,62%,72%,10,66%,84,160,39%,1%,15,15 to 1,173,1080,1290,,68%,231,6%
2020,130,130,USNews,Drake University ,Drake University,IA,private,47,47,2.8,98,88%,80%,78%,-2,67%,365,95,50%,4%,10,10 to 1,95,24,30,39%,68%,148,10%
2020,97,97,USNews,Drexel University ,Drexel University,PA,private,52,52,3.1,127,88%,70%,74%,4,69%,270,69,53%,10%,11,11 to 1,107,1170,1380,33%,77%,61,6%
2020,10,10,USNews,Duke University ,Duke University,NC,private,91,91,4.5,8,98%,98%,96%,-2,95%,254,1,71%,7%,6,6 to 1,7,33,35,95%,9%,15,32%
2020,132,132,USNews,Duquesne University ,Duquesne University,PA,private,46,46,2.7,103,86%,72%,78%,6,69%,159,194,40%,9%,14,14 to 1,143,1140,1280,26%,72%,200,7%
2020,254,254,USNews,D'Youville College ,D'Youville University,NY,private,30,30,1.7,278,79%,57%,60%,3,54%,96,64,70%,1%,9,9 to 1,265,1030,1200,17%,100%,254,12%
2020,228,228,USNews,East Carolina University ,East Carolina University,NC,public,33,33,2.4,195,82%,58%,63%,5,61%,39,320,31%,18%,18,18 to 1,295,1030,1180,13%,82%,283,2%
2020,293,293-381,USNews,East Tennessee State University,East Tennessee State University,,public,,,2.1,,73%,52%,41%,,32%,214,,43%,9%,,,,19,26,,85%,,
2020,293,293-381,USNews,Eastern Michigan University,Eastern Michigan University,,public,,,2.3,,73%,51%,45%,,36%,214,,40%,3%,,,,970,1200,13%,76%,,2%
2020,202,202,USNews,Edgewood College ,Edgewood College,WI,private,36,36,1.7,203,79%,58%,63%,5,63%,14,69,85%,0%,10,10 to 1,215,20,25,17%,73%,231,6%
2020,84,84,USNews,Elon University ,Elon University,NC,private,54,54,3,69,90%,80%,83%,3,79%,370,64,52%,0%,12,12 to 1,122,1150,1330,25%,72%,164,24%
2020,21,21,USNews,Emory University ,Emory University,GA,private,79,79,4.1,30,94%,91%,90%,-1,88%,200,20,60%,13%,9,9 to 1,23,1350,1520,84%,19%,16,21%
2020,293,293-381,USNews,Ferris State University ,Ferris State University,MI,public,,,2.1,,78%,52%,50%,,41%,285,,52%,3%,,,,940,1170,,81%,,2%
2020,254,254,USNews,Florida A&M University,Florida A&M University,,public,30,30,2.3,294,83%,43%,51%,8,49%,45,339,33%,14%,16,16 to 1,310,1040,1170,11%,39%,231,5%
2020,281,281,USNews,Florida Atlantic University,Florida Atlantic University,,public,27,27,2.4,278,79%,51%,52%,1,52%,45,351,31%,16%,21,21 to 1,245,1080,1240,12%,59%,322,2%
2020,202,202,USNews,Florida Institute of Technology,Florida Institute of Technology,,private,36,36,2.4,215,81%,61%,60%,-1,51%,297,169,45%,4%,14,14 to 1,113,1150,1340,29%,65%,200,7%
2020,218,218,USNews,Florida International University,Florida International University,,public,34,34,2.5,203,89%,50%,58%,8,61%,12,374,19%,26%,24,24 to 1,190,1090,1260,25%,59%,294,3%
2020,57,57,USNews,Florida State University,Florida State University,,public,61,61,3.3,73,93%,70%,83%,13,79%,80,58,57%,12%,21,21 to 1,90,1200,1350,39%,37%,231,19%
2020,74,74,USNews,Fordham University ,Fordham University,NY,private,57,57,3.1,78,91%,80%,83%,3,79%,251,54,51%,1%,15,15 to 1,70,1250,1430,44%,46%,110,17%
2020,179,179,USNews,Gallaudet University ,Gallaudet University,DC,private,40,40,2.9,313,71%,51%,47%,-4,46%,45,30,97%,0%,6,6 to 1,375,15,20,,57%,18,
2020,218,218,USNews,Gannon University ,Gannon University,PA,private,34,34,2,167,83%,61%,67%,6,54%,159,182,49%,0.40%,13,13 to 1,295,1020,1220,20%,81%,244,7%
2020,281,281,USNews,Gardner-Webb University ,Gardner-Webb University,NC,private,27,27,2,294,73%,56%,53%,-3,43%,204,77,75%,0%,13,13 to 1,279,970,1180,17%,48%,265,3%
2020,246,246,USNews,George Fox University ,George Fox University,OR,private,31,31,2,161,81%,64%,67%,3,54%,80,309,53%,2%,14,14 to 1,310,1020,1230,32%,82%,265,5%
2020,153,153,USNews,George Mason University ,George Mason University,VA,public,43,43,3.1,137,88%,63%,70%,7,68%,125,328,31%,14%,17,17 to 1,163,1120,1320,18%,81%,244,3%
2020,70,70,USNews,George Washington University ,George Washington University,DC,private,58,58,3.5,64,92%,86%,82%,-4,78%,322,85,53%,11%,13,13 to 1,51,1280,1460,56%,42%,61,8%
2020,24,24,USNews,Georgetown University ,Georgetown University,DC,private,77,77,4.2,10,96%,98%,94%,-4,94%,241,39,61%,6%,11,11 to 1,18,1370,1530,89%,15%,33,31%
2020,29,29,USNews,Georgia Institute of Technology,Georgia Institute of Technology,,public,72,72,4.3,40,97%,89%,87%,-2,81%,224,42,45%,14%,21,21 to 1,18,1390,1540,89%,23%,58,19%
2020,293,293-381,USNews,Georgia Southern University,Georgia Southern University,,public,,,2.4,,80%,60%,50%,,47%,113,,26%,10%,,,,1060,1200,18%,68%,,5%
2020,211,211,USNews,Georgia State University,Georgia State University,,public,35,35,2.9,247,83%,53%,54%,1,56%,8,300,22%,16%,25,25 to 1,336,990,1190,17%,57%,265,4%
2020,79,79,USNews,Gonzaga University ,Gonzaga University,WA,private,55,55,3.1,48,94%,78%,86%,8,78%,254,182,37%,1%,11,11 to 1,95,1183,1350,41%,66%,164,14%
2020,293,293-381,USNews,Grand Canyon University ,Grand Canyon University,AZ,proprietary,,,1.8,,66%,42%,39%,,,42,,,,,,,,,,67%,,
2020,228,228,USNews,Grand Valley State University ,Grand Valley State University ,MI,public,33,33,2.2,167,84%,61%,65%,4,58%,115,300,25%,5%,16,16 to 1,215,1050,1240,20%,83%,339,4%
2020,218,218,USNews,Hampton University ,Hampton University,VA,private,34,34,2.4,230,77%,60%,58%,-2,53%,34,271,60%,3%,13,13 to 1,344,19,24,13%,36%,140,17%
2020,240,240,USNews,Harding University ,Harding University,AR,private,32,32,2,167,84%,69%,67%,-2,54%,322,227,55%,6%,14,14 to 1,159,22,29,23%,68%,283,10%
2020,2,2,USNews,Harvard University ,Harvard University,MA,private,96,96,4.9,2,97%,97%,98%,1,97%,186,6,72%,10%,6,6 to 1,2,1460,1580,94%,5%,8,31%
2020,162,162,USNews,Hofstra University ,Hofstra University,NY,private,42,42,2.8,192,81%,70%,63%,-7,54%,303,77,48%,2%,13,13 to 1,125,1150,1330,28%,63%,132,12%
2020,104,104,USNews,Howard University ,Howard University,DC,private,51,51,3.2,182,89%,61%,62%,1,62%,4,227,54%,6%,8,8 to 1,152,1140,1285,27%,32%,49,11%
2020,293,293-381,USNews,Husson University ,Husson University,ME,private,,,1.7,,75%,44%,55%,,47%,70,,51%,0.20%,,,,930,1140,12%,83%,,3%
2020,117,117,USNews,Illinois Institute of Technology,Illinois Institute of Technology,,private,50,50,2.8,112,92%,71%,72%,1,66%,61,85,46%,9%,12,12 to 1,74,1220,1400,49%,58%,140,7%
2020,197,197,USNews,Illinois State University,Illinois State University,,public,37,37,2.5,145,81%,62%,69%,7,61%,224,271,37%,10%,18,18 to 1,318,20,26,,89%,231,6%
2020,211,211,USNews,Immaculata University ,Immaculata University,PA,private,35,35,1.8,176,79%,51%,68%,17,53%,186,147,86%,0%,9,9 to 1,334,1018,1223,9%,81%,283,7%
2020,293,293-381,USNews,Indiana State University,Indiana State University,,public,,,2.5,,65%,43%,41%,,32%,78,,31%,8%,,,,910,1120,11%,90%,,6%
2020,293,293-381,USNews,Indiana Univ. of Pennsylvania,Indiana University of Pennsylvania,,public,,,2.1,,73%,47%,56%,,48%,138,,35%,10%,,,,910,1120,8%,93%,,5%
2020,79,79,USNews,Indiana University--Bloomington,Indiana University--Bloomington,,public,55,55,3.7,92,91%,74%,78%,4,66%,303,160,37%,17%,16,16 to 1,111,1150,1360,35%,77%,183,11%
2020,228,228,USNews,Indiana University-Purdue University--Indianapolis,Indiana University-Purdue University--Indianapolis,,public,33,33,2.9,307,74%,52%,48%,-4,41%,125,227,39%,10%,15,15 to 1,310,1000,1200,15%,81%,76,7%
2020,121,121,USNews,Iowa State University,Iowa State University,,public,49,49,3.3,112,88%,70%,75%,5,67%,270,227,29%,20%,19,19 to 1,152,22,28,27%,91%,183,11%
2020,293,293-381,USNews,Jackson State University ,Jackson State University,MS,public,,,2,,66%,44%,37%,,,105,,39%,10%,,,,17,22,,69%,,
2020,10,10,USNews,Johns Hopkins University ,Johns Hopkins University,MD,private,91,91,4.7,18,97%,97%,94%,-3,94%,241,18,74%,9%,7,7 to 1,2,33,35,96%,11%,3,39%
2020,162,162,USNews,Kansas State University,Kansas State University,,public,42,42,3,182,85%,66%,64%,-2,48%,364,210,46%,12%,18,18 to 1,159,22,28,27%,94%,148,17%
2020,272,272,USNews,Keiser University ,Keiser University,FL,private,28,28,1.6,195,84%,36%,56%,20,52%,34,381,48%,29%,12,12 to 1,323,,,,100%,200,1%
2020,293,293-381,USNews,Kennesaw State University ,Kennesaw State University,GA,public,,,2.4,,79%,55%,43%,,45%,90,,27%,13%,,,,1080,1270,16%,58%,,2%
2020,211,211,USNews,Kent State University ,Kent State University,OH,public,35,35,2.6,230,81%,53%,57%,4,48%,204,147,52%,9%,20,20 to 1,245,20,25,15%,85%,315,4%
2020,293,293-381,USNews,Lamar University ,Lamar University,TX,public,,,1.9,,63%,42%,27%,,21%,335,,38%,10%,,,,950,1100,15%,84%,,1%
2020,50,50,USNews,Lehigh University ,Lehigh University,PA,private,63,63,3.3,36,95%,87%,87%,,84%,270,44,50%,12%,9,9 to 1,51,1270,1450,58%,22%,55,17%
2020,246,246,USNews,Lesley University ,Lesley University,MA,private,31,31,2.1,242,80%,60%,56%,-4,60%,90,120,67%,0%,10,10 to 1,310,938,1293,13%,76%,164,
2020,293,293-381,USNews,Liberty University ,Liberty University,VA,private,,,1.7,,83%,48%,55%,,41%,335,,33%,4%,,,,980,1180,24%,56%,,1%
2020,254,254,USNews,Lincoln Memorial University ,Lincoln Memorial University,TN,private,30,30,1.9,278,71%,53%,60%,7,51%,49,147,55%,4%,14,14 to 1,334,19,25,26%,43%,254,5%
2020,293,293-381,USNews,Lindenwood University ,Lindenwood University,MO,private,,,1.8,,70%,54%,50%,,46%,224,,65%,0%,,,,20,25,,88%,,5%
2020,218,218,USNews,Lipscomb University ,Lipscomb University,TN,private,34,34,2.1,209,82%,68%,65%,-3,55%,328,210,55%,5%,13,13 to 1,134,22,29,30%,60%,174,12%
2020,240,240,USNews,Long Island University ,Long Island University,NY,private,32,32,2.2,215,80%,,,-1,,328,58,66%,1%,11,11 to 1,215,1050,1250,15%,76%,303,2%
2020,153,153,USNews,Louisiana State University--Baton Rouge,Louisiana State University,,public,43,43,2.9,167,84%,67%,67%,,55%,345,182,41%,17%,20,20 to 1,134,23,29,23%,74%,148,13%
2020,272,272,USNews,Louisiana Tech University,Louisiana Tech University,,public,28,28,2.5,256,80%,62%,53%,-9,40%,335,194,54%,8%,23,23 to 1,152,22,28,25%,63%,378,8%
2020,64,64,USNews,Loyola Marymount University ,Loyola Marymount University,CA,private,59,59,3.1,73,90%,75%,84%,9,80%,241,54,53%,1%,10,10 to 1,83,1210,1390,44%,47%,93,20%
2020,104,104,USNews,Loyola University Chicago,Loyola University Chicago,,private,51,51,3.2,112,84%,70%,74%,4,66%,84,136,38%,6%,14,14 to 1,113,25,30,37%,68%,140,6%
2020,197,197,USNews,Loyola University New Orleans,Loyola University New Orleans,,private,37,37,2.7,215,80%,69%,61%,-8,50%,214,120,46%,2%,12,12 to 1,173,22,28,25%,75%,140,6%
2020,84,84,USNews,Marquette University ,Marquette University,WI,private,54,54,3.1,78,89%,77%,85%,8,76%,315,110,48%,8%,14,14 to 1,101,24,30,36%,82%,123,14%
2020,293,293-381,USNews,Marshall University ,Marshall University,WV,public,,,2.4,,73%,51%,46%,,36%,147,,48%,3%,,,,19,25,,91%,,4%
2020,272,272,USNews,Mary Baldwin University ,Mary Baldwin University,VA,private,28,28,2,339,67%,44%,47%,3,45%,21,110,64%,1%,10,10 to 1,351,950,1130,11%,100%,219,10%
2020,202,202,USNews,Maryville Univ. of St. Louis,Maryville University of St. Louis,,private,36,36,1.9,122,86%,63%,72%,9,69%,176,210,72%,1%,14,14 to 1,215,20,26,24%,95%,303,5%
2020,3,3,USNews,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,private,94,94,4.9,10,99%,95%,94%,-1,92%,241,9,71%,12%,3,3 to 1,2,1500,1570,97%,7%,2,33%
2020,153,153,USNews,Mercer University ,Mercer University,GA,private,43,43,2.5,167,88%,68%,66%,-2,57%,134,77,55%,5%,13,13 to 1,107,1180,1340,37%,72%,183,11%
2020,293,293-381,USNews,Metropolitan State University ,Metropolitan State University,MN,public,,,1.8,,72%,48%,33%,,,328,,,,,,,,,,56%,,
2020,91,91,USNews,Miami University--Oxford ,Miami University,OH,public,53,53,3.2,82,91%,73%,80%,7,71%,369,147,33%,11%,17,17 to 1,83,26,31,34%,75%,254,18%
2020,84,84,USNews,Michigan State University,Michigan State University,,public,54,54,3.5,82,92%,70%,80%,10,71%,241,256,24%,23%,16,16 to 1,152,1110,1310,29%,78%,93,8%
2020,147,147,USNews,Michigan Technological University,Michigan Technological University,,public,44,44,2.7,161,84%,70%,68%,-2,61%,265,69,47%,13%,13,13 to 1,113,1170,1360,32%,74%,148,8%
2020,293,293-381,USNews,Middle Tennessee State Univ.,Middle Tennessee State University,,public,,,2.2,,76%,53%,44%,,38%,80,,46%,7%,,,,20,26,,94%,,3%
2020,192,192,USNews,Misericordia University ,Misericordia University,PA,private,38,38,1.9,127,83%,58%,69%,11,61%,204,160,51%,0%,11,11 to 1,265,1040,1200,20%,83%,244,12%
2020,293,293-381,USNews,Mississippi College,Mississippi College,,private,,,2,,79%,69%,53%,,33%,303,,59%,3%,,,,21,28,33%,38%,,5%
2020,211,211,USNews,Mississippi State University,Mississippi State University,,public,35,35,2.7,215,80%,66%,58%,-8,42%,335,300,37%,15%,17,17 to 1,125,22,29,29%,57%,174,15%
2020,293,293-381,USNews,Missouri State University,Missouri State University,,public,,,2.4,,78%,60%,54%,,45%,75,,26%,13%,,,,21,26,22%,85%,,5%
2020,179,179,USNews,Missouri Univ. of Science & Tech--Rolla.,Missouri University of Science and Technology,,public,40,40,2.7,182,84%,71%,63%,-8,54%,254,160,46%,16%,19,19 to 1,74,25,31,40%,84%,231,11%
2020,246,246,USNews,Montana State University,Montana State University,,public,31,31,2.6,268,77%,64%,55%,-9,46%,254,280,44%,14%,19,19 to 1,177,21,28,21%,82%,200,8%
2020,166,166,USNews,Montclair State University ,Montclair State University,NJ,public,41,41,2.2,167,82%,48%,71%,23,69%,23,194,37%,2%,17,17 to 1,356,990,1170,11%,71%,303,3%
2020,293,293-381,USNews,Morgan State University ,Morgan State University,MD,public,,,2.2,,74%,42%,39%,,35%,108,,46%,2%,,,,920,1080,7%,66%,,16%
2020,293,293-381,USNews,National Louis University ,National Louis University,IL,private,,,1.9,,65%,46%,40%,,,328,,70%,0%,,,,15,18,,86%,,
2020,97,97,USNews,New Jersey Inst. of Technology,New Jersey Institute of Technology,,public,52,52,2.7,176,88%,56%,65%,9,60%,42,44,37%,3%,16,16 to 1,101,1190,1380,36%,64%,93,8%
2020,263,263,USNews,New Mexico State University,New Mexico State University (Main campus),,public,29,29,2.6,313,74%,49%,47%,-2,41%,119,210,47%,10%,17,17 to 1,330,17,23,22%,66%,164,6%
2020,29,29,USNews,New York University,New York University,,private,72,72,4,52,93%,84%,85%,1,84%,115,24,61%,9%,9,9 to 1,40,1310,1510,71%,20%,28,11%
2020,281,281,USNews,North Carolina A&T State Univ.,North Carolina Agricultural and Technical State University,,public,27,27,2.2,307,77%,44%,53%,9,48%,66,309,25%,7%,18,18 to 1,349,950,1110,12%,61%,303,9%
2020,84,84,USNews,North Carolina State U.--Raleigh,North Carolina State University,,public,54,54,3.2,78,94%,79%,81%,2,76%,224,194,35%,16%,14,14 to 1,70,1250,1390,48%,47%,103,10%
2020,281,281,USNews,North Dakota State University,North Dakota State University,,public,27,27,2.5,242,79%,67%,58%,-9,50%,354,335,33%,24%,17,17 to 1,279,21,26,16%,93%,174,5%
2020,40,40,USNews,Northeastern University ,"Northeastern University, US",MA,private,67,67,3.5,36,97%,86%,88%,2,88%,254,24,67%,6%,14,14 to 1,27,32,34,77%,19%,72,11%
2020,293,293-381,USNews,Northern Arizona University,Northern Arizona University,,public,,,2.5,,75%,55%,52%,,42%,224,,30%,17%,,,,19,25,21%,83%,,3%
2020,293,293-381,USNews,Northern Illinois University,Northern Illinois University,,public,,,2.4,,73%,50%,46%,,32%,200,,49%,8%,,,,940,1170,12%,54%,,4%
2020,293,293-381,USNews,Northern Kentucky University,Northern Kentucky University,,public,,,2.2,,71%,50%,44%,,33%,354,,38%,4%,,,,20,26,12%,89%,,4%
2020,9,9,USNews,Northwestern University ,Northwestern University,IL,private,92,92,4.5,10,98%,97%,95%,-2,94%,251,3,78%,5%,6,6 to 1,11,33,35,92%,8%,9,31%
2020,246,246,USNews,Nova Southeastern University ,Nova Southeastern University,FL,private,31,31,2,283,78%,54%,50%,-4,43%,165,69,75%,2%,17,17 to 1,170,1080,1290,32%,79%,123,2%
2020,293,293-381,USNews,Oakland University ,Oakland University,MI,public,,,2.2,,76%,59%,55%,,49%,234,,37%,13%,,,,1010,1240,21%,84%,,3%
2020,54,54,USNews,Ohio State University--Columbus,Ohio State University (Main campus),,public,62,62,3.8,52,94%,77%,84%,7,76%,254,271,27%,27%,19,19 to 1,57,27,32,63%,52%,76,15%
