Year,USNRank,OrgRank,Ranking_Agency_USN,InstituteName,Master_col,State,PublicPrivate,OverAllScores,OverallScore,PeerAssessmentScore,GraduationRetentionRank,AverageFirstYearRetentionRate,PredictedGraduationRate,ActualGraduationRate,OverUnderperformance,PellGradrate,SocialMobilityRank,FacultyResourcesRank,PercentofClassesUnder20,PercentofClassesof50orMoreStudents,StudentFacultyRatio,Student_Faculty_Ratio,SelectivityRank,SATACT25thPercentile,SATACT75thPercentile,FirstYearStudentsTop10HSclass,AcceptanceRate,FinancialResourcesRank,AverageAlumniGivingRate
2022,148,148,USNews,Rutgers University – Camden ,Rutgers University - Camden ,NJ,public,55,55,2.7,200,86%,53%,65%,12,57%,18,117,36%,11%,15,15 to 1,311,980,1170,18%,76%,135,3%
2022,63,63,USNews,Rutgers University--New Brunswick ,Rutgers University - New Brunswick,NJ,public,67,67,3.4,65,93%,70%,84%,14,83%,51,239,39%,21%,16,16 to 1,107,1180,1410,30%,67%,64,6%
2022,127,127,USNews,Rutgers University – Newark,Rutgers University - Newark,NJ,public,57,57,2.8,163,86%,53%,65%,12,64%,3,255,25%,21%,15,15 to 1,304,1010,1170,15%,74%,109,4%
2022,202,202,USNews,Sacred Heart University ,Sacred Heart University,CT,private,49,49,2.3,141,84%,66%,73%,7,65%,297,295,36%,3%,14,14 to 1,256,1140,1260,9%,66%,205,10%
2022,103,103,USNews,Saint Louis University,Saint Louis University,,private,60,60,3.1,93,90%,79%,80%,1,67%,357,157,42%,9%,9,9 to 1,81,25,31,39%,56%,89,9%
2022,249,249,USNews,Sam Houston State University ,Sam Houston State University,TX,public,45,45,2.4,274,77%,50%,59%,9,57%,24,303,30%,11%,23,23 to 1,311,970,1120,33%,92%,358,6%
2022,136,136,USNews,Samford University ,Samford University,AL,private,56,56,2.6,100,89%,77%,77%,,70%,365,87,51%,4%,14,14 to 1,144,23,29,29%,84%,185,5%
2022,148,148,USNews,San Diego State University,San Diego State University,,public,55,55,3,106,89%,64%,78%,14,74%,66,379,26%,25%,25,25 to 1,154,1090,1300,33%,37%,366,4%
2022,55,55,USNews,Santa Clara University ,Santa Clara University,CA,private,69,69,3.2,28,94%,86%,92%,6,91%,327,83,38%,1%,11,11 to 1,74,1270,1450,40%,51%,74,17%
2022,227,227,USNews,Seattle Pacific University,Seattle Pacific University,,private,47,47,2.4,183,79%,68%,65%,-3,50%,232,231,59%,2%,13,13 to 1,304,1010,1160,,91%,185,4%
2022,127,127,USNews,Seattle University,Seattle University,,private,57,57,2.7,121,85%,73%,73%,,72%,220,75,60%,0.30%,11,11 to 1,137,1130,1330,24%,83%,125,5%
